code,tobe,in,missing,provider,brand,name,description,appliance,classification,storage,price
1261,0,4,-4,PHM,PHM,SOPORTE AMORTIGUADOR,FUNDICION,FORD TRITON DEL,PYSF,PROPIO,
1291,0,15,-15,GONZALEZ,GONZALEZ,COLUMPIO,8 pulg,FORD TRITON DEL,PYSO,PROPIO,
1292,0,15,-15,GONZALEZ,GONZALEZ,COLUMPIO,7 pulg,FORD TRITON DEL,PYSO,PROPIO,
5001,0,3,-3,PHM,PHM,PERCHA FIJA,FUNDICION,FAMSA DEL,PYSF,PROPIO,
5525,4,4,0,PHM,PHM,ALBARDON FIERRO,1 INCH,KENWORTH,PEAL,PROPIO,
6007,0,4,-4,PHM,PHM,CHUMACERA,FUNDICION,NISSAN,PYSF,PROPIO,
7048,0,3,-3,PHM,PHM,PERCHA FIJA,FUNDICION,FREIGHTLINER M2 TRA,PYSF,PROPIO,
11066,12,10,2,GAFF,GAFF,BUJE NARANJA,RB-211,FL-70 DEL,BUNA,CONSIGNACION,
11083,4,4,0,GAFF,GAFF,GRANADA ESPACIAL,BARRA TORSION,FREIGHTLINER,GRAN,CONSIGNACION,
11094,12,12,0,GAFF,GAFF,BUJE NARANJA,LIBRE MANTENIMIENTO,FREIGHTLINER M2 DEL,BUNA,CONSIGNACION,
11729,4,4,0,GAFF,GAFF,GRANADA DE HUESO,2 3/4,KENWORTH,GRAN,CONSIGNACION,
11753,12,12,0,GAFF,GAFF,BUJE GRANADA,1 3/4*7 1/2,KENWORTH,BUNA,CONSIGNACION,
11763,6,6,0,GAFF,GAFF,BUJE GRANADA,2 1/8,KENWORTH,BUNA,CONSIGNACION,
11767,12,12,0,GAFF,GAFF,BUJE GRANADA,1 3/4*6 3/4,KENWORTH,BUNA,CONSIGNACION,
13518,4,4,0,GAFF,GAFF,GRANADA DE PILONCILLO,2 3/4*8 1/16,INTERNATIONAL,GRAN,CONSIGNACION,
13520,4,4,0,GAFF,GAFF,BUJE GRANADA,2 3/4*5 3/4,INTERNATIONAL,BUNA,CONSIGNACION,
13521,4,4,0,GAFF,GAFF,GRANADA ENCUARADA,2  1/32,INTERNATIONAL,GRAN,CONSIGNACION,
14093,0,3,-3,MAF,MAF,PERCHA COLUMPIO XL,,FORD TRITON TRA,PYSO,PROPIO,
34511,12,6,6,GAFF,GAFF,BUJE GRANADA,3/4*4 1/4,SPRING,BUNA,CONSIGNACION,
44697,0,2,-2,DIREGO,CLEVITE,GRANADA PILONCILLO,BARRA TORSION,,GRAN,PROPIO,
50389,1,1,0,MAF,MAF,MUELLE ZETA,,HENDRICKSON,MUPA,CONSIGNACION,
240750,0,8,-8,DIREGO,CLEVITE,GRANADA ESPACIAL,BARRA TORSION,,GRAN,PROPIO,
820980,0,8,-8,DIREGO,CLEVITE,GRANADA CORCHOLATA,,,GRAN,PROPIO,
9950440,2,2,0,MAF,MAF,TRAMO,28*28*3*1/2,GENERAL,MUEL,CONSIGNACION,
9950441,5,3,2,MAF,MAF,TRAMO,26*26*3*1/2,GENERAL,MUEL,CONSIGNACION,
9950442,5,5,0,MAF,MAF,TRAMO,24*24*3*1/2,GENERAL,MUEL,CONSIGNACION,
9950443,6,6,0,MAF,MAF,TRAMO,23*23*3*1/2,GENERAL,MUEL,CONSIGNACION,
9950445,7,7,0,MAF,MAF,TRAMO,21*21*3*1/2,GENERAL,MUEL,CONSIGNACION,
9950447,7,7,0,MAF,MAF,TRAMO,19*19*3*1/2,GENERAL,MUEL,CONSIGNACION,
9950451,5,5,0,MAF,MAF,TRAMO,15*15*3*1/2,GENERAL,MUEL,CONSIGNACION,
9950455,5,4,1,MAF,MAF,TRAMO,30*30*3*1/2,GENERAL,MUEL,CONSIGNACION,
9950627,1,1,0,MAF,MAF,TRAMO,28*28*3*401,GENERAL,MUEL,CONSIGNACION,
9950646,2,1,1,MAF,MAF,TRAMO,38*38*3*1/2,GENERAL,MUEL,CONSIGNACION,
9975551,10,10,0,MAF,MAF,TRAMO,23*23*3*401,GENERAL,MUEL,CONSIGNACION,
9975553,8,8,0,MAF,MAF,TRAMO,16*16*3*401,GENERAL,MUEL,CONSIGNACION,
9975558,10,11,-1,MAF,MAF,TRAMO,21*21*3*401,GENERAL,MUEL,CONSIGNACION,
9975561,9,9,0,MAF,MAF,TRAMO,19*19*3*401,GENERAL,MUEL,CONSIGNACION,
59216000,0,2,-2,RACSA,,SOPORTES,COLUMBIA,,PYSO,PROPIO,
 43349-1,10,10,0,DIREGO,MC,MUELLE MAESTRA,29 5/8*29 5/8*3*401,GENERAL,MUEL,CONSIGNACION,
 43349-2R,10,10,0,DIREGO,MC,MUELLE SEGUNDA REF,26*26*3*401,GENERAL,MUEL,CONSIGNACION,
 43349-2R,0,1,-1,DIREGO,MC,MUELLE SEGUNDA REF,26*26*3*402,GENERAL,MUEL,OBSOLETO,
03008,4,4,0,MAF,MAF,ALBARDON ALUMINIO,1 INCH,FREIGHTLINER,PEAL,PROPIO,
03018,4,4,0,MAF,MAF,ALBARDON ALUMINIO,HUESO,KENWORTH,PEAL,PROPIO,
030360,10,8,2,MAF,MAF,ALBARDON ALUMINIO,1 INCH,FAMSA DEL,PEAL,CONSIGNACION,
03037,4,4,0,MAF,MAF,ALBARDON ALUMINIO,1 INCH,KENWORTH,PEAL,PROPIO,
03053,4,4,0,MAF,MAF,ALBARDON ALUMINIO,1 INCH,KENWORTH,PEAL,PROPIO,
06113R1,0,20,-20,MAF,MAF,BUJE COLUMPIO,"20,0 mm",NISSAN,BUJE,PROPIO,
06113R1,0,10,-10,MAF,MAF,COLUMPIO,3/4,NISSAN,PYSO,PROPIO,
06239TPC,0,10,-10,MAF,MAF,BUJE NARANJA,RB-211,FL-70 DEL,BUNA,PROPIO,
06340R,0,10,-10,MAF,MAF,BUJE FIJO,20 mm,NISSAN,BUJE,PROPIO,
1 1260,0,8,-8,PHM,PHM,SEPARADOR DE MUELLES,FUNDICION,FORD TRITON TRA,PYSF,PROPIO,
1 2481,0,4,-4,PHM,PHM,CAMA M2,FUNDICION,FREIGHTLINER M2 TRA,PYSF,PROPIO,
1 4021,0,3,-3,PHM,PHM,PERCHA COLUMPIO,FUNDICION,FORD TRITON TRA,PYSF,PROPIO,
1 4027,0,8,-8,PHM,PHM,SOPORTE SOBRECARGA,TRACERO,FORD TRITON TRA,PYSF,PROPIO,
1 4029,0,3,-3,PHM,PHM,PERCHA FIJA,FUNDICION,FORD TRITON TRA,PYSF,PROPIO,
1 4070,0,8,-8,PHM,PHM,SOPORTE SOBRECARGA,DELANTERO,FORD TRITON TRA,PYSF,PROPIO,
1 5641,0,8,-8,PHM,PHM,DESLIZANTE,FUNDICION,FREIGHTLINER M2 TRA,PYSF,PROPIO,
1 6001,0,8,-8,PHM,PHM,SEPARADOR DE MUELLES,FUNDICION,FORD 350 VIEJITA,PYSF,PROPIO,
1 7021,0,3,-3,PHM,PHM,PERCHA TRA TRA,FUNDICION,FREIGHTLINER 360 TRA,PYSF,PROPIO,
1 7023,0,3,-3,PHM,PHM,PERCHA TIRANTE,,FREIGHTLINER FL-70 TRA,PYSF,PROPIO,
1 7030,0,8,-8,PHM,PHM,DESLIZANTE,FUNDICION,FREIGHTLINER FL-70 TRA,PYSF,PROPIO,
1 7049,0,0,0,PHM,PHM,PERCHA TRA TRA,FUNDICION,FREIGHTLINER M2 TRA,PYSF,PROPIO,
11125-2 5/8,2,2,0,DIREGO,MC,MUELLE SEGUNDA,17*28*4*1/2,HENDRICKSON COLA PATO,MUEL,CONSIGNACION,
13KL47691,0,12,-12,DIREGO,CLEVITE,GRANADA ENCUERADA,"2""",INTERNATIONAL,GRAN,PROPIO,
14008F,4,3,1,MAF,MAF,PERCHA TIRANTE,MULTIBARRENOS,FAMSA TRA,PYSO,CONSIGNACION,
14011F,8,3,5,MAF,MAF,PERCHA TRASERA,MULTIBARRENOS,FAMSA TRA,PYSO,CONSIGNACION,
22403-1,2,2,0,DIREGO,MC,MUELLE MAESTRA,26*26*2 1/2,CHEVROLET CITY VAN,MUEL,CONSIGNACION,
22403-1,0,1,-1,DIREGO,MC,MUELLE MAESTRA,26*26*2 1/2,CHEVROLET CITY VAN,MUEL,OBSOLETO,
22403-2,2,2,0,DIREGO,MC,MUELLE SEGUNDA,24*24*2 1/2,CHEVROLET CITY VAN,MUEL,CONSIGNACION,
22403-2R,2,2,0,DIREGO,MC,MUELLE SEGUNDA REF,26*26*2 1/2,CHEVROLET CITY VAN,MUEL,CONSIGNACION,
22403-3,2,2,0,DIREGO,MC,MUELLE TERCERA,22 1/4*22 1/4* 2 1/2,CHEVROLET CITY VAN,MUEL,CONSIGNACION,
22403-4,2,2,0,DIREGO,MC,MUELLE CUARTA,20 1/4*20 1/4* 2 1/2,CHEVROLET CITY VAN,MUEL,CONSIGNACION,
22403-5,2,2,0,DIREGO,MC,MUELLE QUINTA,19*19*2 1/2,CHEVROLET CITY VAN,MUEL,CONSIGNACION,
22403-6,2,2,0,DIREGO,MC,MUELLE SEXTA,16 1/2*16 1/2,CHEVROLET CITY VAN,MUEL,CONSIGNACION,
33701-2R,0,3,-3,DIREGO,MC,MUELLE SEGUNDA REF,25*31,FORD 350,MUEL,OBSOLETO,
387BPC,0,10,-10,MAF,MAF,PERNO FIJO,3/4,NISSAN,PEAL,PROPIO,
39626A-1,4,4,0,DIREGO,MC,MUELLE MAESTRA,26*30*3,FREIGHTLINER M2 TRA,MUEL,CONSIGNACION,
3962A6-2,4,4,0,DIREGO,MC,MUELLE SEGUNDA,26*30*3,FREIGHTLINER M2 TRA,MUEL,CONSIGNACION,
3962A6-2,0,2,-2,DIREGO,MC,MUELLE SEGUNDA,26*30*3,FREIGHTLINER M2 TRA,MUEL,OBSOLETO,
43349-2,10,10,0,DIREGO,MC,MUELLE SEGUNDA,27 1/2*27 1/2*3*401,GENERAL,MUEL,CONSIGNACION,
43349-3,10,10,0,DIREGO,MC,MUELLE TERCERA,23*23*3*401,GENERAL,MUEL,CONSIGNACION,
43349-4R,10,10,0,DIREGO,MC,MUELLE CUARTA REF,21 1/2*21 1/2*3*401,GENERAL,MUEL,CONSIGNACION,
43349-5,10,8,2,DIREGO,MC,MUELLE QUINTA,18 1/2*18 1/8*3*401,GENERAL,MUEL,CONSIGNACION,
43349-6,10,9,1,DIREGO,MC,MUELLE SEXTA,15 3/4*15 3/4*3*401,GENERAL,MUEL,CONSIGNACION,
43487-1,0,1,-1,DIREGO,MC,MUELLE MAESTRA,26*26*1/2,GENERAL,MUEL,OBSOLETO,
43487-3,10,7,3,DIREGO,MC,MUELLE TERCERA,23 1/4*23 1/4*2 1/2,GENERAL,MUEL,CONSIGNACION,
43487-4,10,10,0,DIREGO,MC,MUELLE CUARTA,21 1/4*21 1/4*2 1/2,GENERAL,MUEL,CONSIGNACION,
43487-4,10,1,9,DIREGO,MC,MUELLE CUARTA,21 1/4*21 1/4*2 1/2,GENERAL,MUEL,OBSOLETO,
43487-5,10,8,2,DIREGO,MC,MUELLE QUINTA,19 1/4*19 1/4*2 1/2,GENERAL,MUEL,CONSIGNACION,
43701-2,2,2,0,DIREGO,MC,MUELLE SEGUNDA,22 1/2*28,FORD 350,MUEL,CONSIGNACION,
43701-2,0,1,-1,DIREGO,MC,MUELLE SEGUNDA,22 1/2*28,FORD 350,MUEL,OBSOLETO,
43701-2R,2,2,0,DIREGO,MC,MUELLE SEGUNDA REF,25*31,FORD 350,MUEL,CONSIGNACION,
43804BF-01,6,5,1,MAF,MAF,MUELLE MAESTRA,27 1/2*28 1/2*3,FORD TRITON DEL,MUPA,CONSIGNACION,
43804F,4,4,0,MAF,MAF,PEINE 3 HOJAS,27 1/2*28 1/2*3,FORD TRITON DEL,MUPA,CONSIGNACION,
43804F-02,7,5,2,MAF,MAF,MUELLE SEGUNDA,27 1/2*28 1/2*3,FORD TRITON DEL,MUPA,CONSIGNACION,
43818-2,2,2,0,DIREGO,MC,MUELLE SEGUNDA,27 1/2*28 1/8*3,SUPER DUTY,MUPA,CONSIGNACION,
43818A-1,2,2,0,DIREGO,MC,MUELLE MAESTRA,27 1/2*28 1/8*3,SUPER DUTY,MUPA,CONSIGNACION,
43818A-1,0,3,-3,DIREGO,MC,MUELLE MAESTRA,27 1/2*28 1/8*3,SUPER DUTY,MUPA,OBSOLETO,
45100A-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,38*38 5/8,TORINO TRA,MUEL,CONSIGNACION,
45100A-5,0,1,-1,DIREGO,MC,MUELLE QUINTA,24*24 5/8,TORINO TRA,MUEL,OBSOLETO,
45100A-6,1,1,0,DIREGO,MC,MUELLE SEXTA,20*20 5/8,TORINO TRA,MUEL,CONSIGNACION,
45100A-6,0,1,-1,DIREGO,MC,MUELLE SEXTA,20*20 5/8,TORINO TRA,MUEL,OBSOLETO,
4510A-4,1,1,0,DIREGO,MC,MUELLE CUARTA,28*28 5/8,TORINO TRA,MUEL,CONSIGNACION,
4510A-5,1,1,0,DIREGO,MC,MUELLE QUINTA,24*24 5/8,TORINO TRA,MUEL,CONSIGNACION,
461244BF-01,2,2,0,MAF,MAF,MUELLE MAESTRA,27 15/16*31 1/8*3,,MUPA,CONSIGNACION,
461244F-02,2,2,0,MAF,MAF,MUELLE SEGUNDA,27 15/16*32 15/16*3,,MUPA,CONSIGNACION,
461246-1,2,2,0,DIREGO,MC,MUELLE MAESTRA,27*32*4,FL-70 DEL,MUPA,CONSIGNACION,
46-1280-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,26*29 3/4,FREIGHTLINER,MUPA,CONSIGNACION,
46-1280-1,0,1,-1,DIREGO,MC,MUELLE MAESTRA,26*29 3/4,FREIGHTLINER,MUPA,OBSOLETO,
46-1280-2,1,1,0,DIREGO,MC,MUELLE SEGUNDA,26*29 3/4,FREIGHTLINER,MUPA,CONSIGNACION,
46-1280-2,0,1,-1,DIREGO,MC,MUELLE SEGUNDA,26*29 3/4,FREIGHTLINER,MUPA,OBSOLETO,
461280BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26 1/8*29*4,,MUPA,CONSIGNACION,
461280F-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,26 1/8*30*4,,MUPA,CONSIGNACION,
461302BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26*30*4,,MUPA,CONSIGNACION,
461302F-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,26 3/8*30 3/8*4,,MUPA,CONSIGNACION,
461402BF-01,1,0,1,MAF,MAF,MUELLE MAESTRA,26*30*4*1,,MUPA,CONSIGNACION,
461406BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26 1/4*28 3/4*4,FREIGHTLINER,MUPA,CONSIGNACION,
461406F-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,26 1/4*28 3/4*4,FREIGHTLINER,MUPA,CONSIGNACION,
461432-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,36*30*4,FREIGHTLINER,MUPA,CONSIGNACION,
461432-2,1,1,0,DIREGO,MC,MUELLE SEGUNDA,26*30*4,FREIGHTLINER,MUPA,CONSIGNACION,
461432D-02R,1,1,0,MAF,MAF,MUELLE SEGUNDA REF,26*30*4*1,,MUPA,CONSIGNACION,
461462BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26*33*3,,MUPA,CONSIGNACION,
461462F-02R,1,1,0,MAF,MAF,MUELLE SEGUNDA REF,26*29*3,,MUPA,CONSIGNACION,
461464BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26*33 1/4*4,,MUPA,CONSIGNACION,
461464F-02R,1,1,0,MAF,MAF,MUELLE SEGUNDA REF,26*29*4,,MUPA,CONSIGNACION,
461494BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,26 1/16*30 1/8*4,,MUEL,CONSIGNACION,
46-220-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,26*29 5/8,FREIGHTLINER,MUPA,CONSIGNACION,
46-220-2,1,1,0,DIREGO,MC,MUELLE SEGUNDA,26*29 5/8,FREIGHTLINER,MUPA,CONSIGNACION,
46220BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,29 1/2*26 1/2*4,FREIGHTLINER,MUPA,CONSIGNACION,
46220F-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,29 1/2*26 1/2*4,FREIGHTLINER,MUPA,CONSIGNACION,
5002A,0,6,-6,PHM,PHM,PERCHA COLUMPIO,FUNDICION,FAMSA DEL,PYSF,PROPIO,
5002B,0,6,-6,PHM,PHM,PERCHA COLUMPIO,FUNDICION,FAMSA DEL,PYSF,PROPIO,
50179-1,1,1,0,DIREGO,MC,MUELLE MAESTRA,17*28 1/2*4*1/2,HENDRICKSON TRA,MUEL,CONSIGNACION,
50179-2,1,1,0,DIREGO,MC,MUELLE SEGUNDA,17*28 1/2*4*1/2,HENDRICKSON TRA,MUEL,CONSIGNACION,
50179-3,1,1,0,DIREGO,MC,MUELLE TERCERA,16 1/4*15 1/4*4*1/2,HENDRICKSON TRA,MUEL,CONSIGNACION,
50179-3R,1,1,0,DIREGO,MC,MUELLE TERCERA REF,17*28 1/2*4*1/2,HENDRICKSON TRA,MUEL,CONSIGNACION,
50179-3R,1,1,0,DIREGO,MC,MUELLE TERCERA REF,17*28 1/2*4*1/2,HENDRICKSON TRA,MUEL,OBSOLETO,
50179-4,1,1,0,DIREGO,MC,MUELLE CUARTA,15*14 1/2*4*1/2,HENDRICKSON TRA,MUEL,CONSIGNACION,
50202BF,1,1,0,MAF,MAF,HOJA PARABOLICA,,FREIGHTLINER/CENTURY,MUPA,CONSIGNACION,
50400BF-01,1,1,0,MAF,MAF,MUELLE MAESTRA,32*32*4,,MUPA,CONSIGNACION,
55053-1,5,3,2,DIREGO,MC,MUELLE MAESTRA,30 1/2*30 1/2*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-2,5,4,1,DIREGO,MC,MUELLE SEGUNDA,27 1/2*27 1/2*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-3,5,4,1,DIREGO,MC,MUELLE TERCERA,24*24*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-3R,6,5,1,DIREGO,MC,MUELLE TERCERA REF,26*26*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-4,7,5,2,DIREGO,MC,MUELLE CUARTA,21 1/4*21 1/4*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-4R,6,6,0,DIREGO,MC,MUELLE CUARTA REF,23*23*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-5,7,7,0,DIREGO,MC,MUELLE QUINTA,18 1/2*18 1/2*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-6,5,5,0,DIREGO,MC,MUELLE SEXTA,15 5/8*15 5/8*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55053-7,5,4,1,DIREGO,MC,MUELLE SEPTIMA,12 7/8*12 7/8*3*1/2,FAMSA TRA,MUEL,CONSIGNACION,
55067HD,1,1,0,MAF,MAF,MUELLE ZETA,,NAVISTAR,MUEL,CONSIGNACION,
551206A-1,2,2,0,DIREGO,MC,MUELLE MAESTRA,25*29*4,INTERNATIONAL,MUPA,CONSIGNACION,
